publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Unités de mesure SI									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/unites-de-mesure-si-23/	Courtier	archive-1/unites-de-mesure-si-23		fulltext	https://doi.org/10.51257/a-v1-23	Editions T.I.	monograph		1994						P
Classification périodique des éléments									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/classification-periodique-des-elements-25/	Valeur	archive-1/classification-periodique-des-elements-25		fulltext	https://doi.org/10.51257/a-v1-25	Editions T.I.	monograph		2006						P
Topologie									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/topologie-a100/	Warusfel	archive-1/topologie-a100		fulltext	https://doi.org/10.51257/a-v1-a100	Editions T.I.	monograph		1993						P
Analyse fonctionnelle									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/analyse-fonctionnelle-a101/	Warusfel	archive-1/analyse-fonctionnelle-a101		fulltext	https://doi.org/10.51257/a-v1-a101	Editions T.I.	monograph		1994						P
Extrapolation									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/extrapolation-a114/	Drouhin	archive-1/extrapolation-a114		fulltext	https://doi.org/10.51257/a-v1-a114	Editions T.I.	monograph		1965						P
Modèles et modélisation en électrotechnique									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/modeles-et-modelisation-en-electrotechnique-a1207/	Bossavit	archive-1/modeles-et-modelisation-en-electrotechnique-a1207		fulltext	https://doi.org/10.51257/a-v1-a1207	Editions T.I.	monograph		1991						P
Les tenseurs et leurs applications									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/les-tenseurs-et-leurs-applications-a1210/	Lanchon-ducauquis	archive-1/les-tenseurs-et-leurs-applications-a1210		fulltext	https://doi.org/10.51257/a-v1-a1210	Editions T.I.	monograph		1989						P
Problèmes en élasticité semi-classique. Modélisation et résolution									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/problemes-en-elasticite-semi-classique-modelisation-et-resolution-a1212/	Lanchon-ducauquis	archive-1/problemes-en-elasticite-semi-classique-modelisation-et-resolution-a1212		fulltext	https://doi.org/10.51257/a-v1-a1212	Editions T.I.	monograph		1991						P
Distributions et équations aux dérivées partielles									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/distributions-et-equations-aux-derivees-partielles-a1230a/	Artola	archive-1/distributions-et-equations-aux-derivees-partielles-a1230a		fulltext	https://doi.org/10.51257/a-v1-a1230a	Editions T.I.	monograph		1990						P
Calcul différentiel									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-differentiel-a133/	G. dhombres	archive-1/calcul-differentiel-a133		fulltext	https://doi.org/10.51257/a-v1-a133	Editions T.I.	monograph		1974						P
Problèmes classiques de dynamiques stochastiques : méthodes d’études									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/problemes-classiques-de-dynamiques-stochastiques-methodes-d-etudes-a1346/	Soize	archive-1/problemes-classiques-de-dynamiques-stochastiques-methodes-d-etudes-a1346		fulltext	https://doi.org/10.51257/a-v1-a1346	Editions T.I.	monograph		1988						P
ÉTUDES DES PROBLÈMES DE DYNAMIQUES STOCHASTIQUES									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/etudes-des-problemes-de-dynamiques-stochastiques-a1347/		archive-1/etudes-des-problemes-de-dynamiques-stochastiques-a1347		fulltext	https://doi.org/10.51257/a-v1-a1347	Editions T.I.	monograph		1988						P
ÉTUDES DES PROBLÈMES DE DYNAMIQUES STOCHASTIQUES									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/etudes-des-problemes-de-dynamiques-stochastiques-a1348/		archive-1/etudes-des-problemes-de-dynamiques-stochastiques-a1348		fulltext	https://doi.org/10.51257/a-v1-a1348	Editions T.I.	monograph		1988						P
Automatique et systèmes									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/automatique-et-systemes-a1370/	Baratchart	archive-1/automatique-et-systemes-a1370		fulltext	https://doi.org/10.51257/a-v1-a1370	Editions T.I.	monograph		1992						P
Fonctions analytiques									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/fonctions-analytiques-a138/	Robba	archive-1/fonctions-analytiques-a138		fulltext	https://doi.org/10.51257/a-v1-a138	Editions T.I.	monograph		1970						P
Quaternions									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/quaternions-a140/	Radix	archive-1/quaternions-a140		fulltext	https://doi.org/10.51257/a-v1-a140	Editions T.I.	monograph		1981						P
Calcul formel									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-formel-a144/	Gomez	archive-1/calcul-formel-a144		fulltext	https://doi.org/10.51257/a-v1-a144	Editions T.I.	monograph		1995						P
Fonctions spéciales									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/fonctions-speciales-a152/	Colombo	archive-1/fonctions-speciales-a152		fulltext	https://doi.org/10.51257/a-v1-a152	Editions T.I.	monograph		1973						P
Équations aux dérivées partielles									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/equations-aux-derivees-partielles-a155/	Colombo	archive-1/equations-aux-derivees-partielles-a155		fulltext	https://doi.org/10.51257/a-v1-a155	Editions T.I.	monograph		1976						P
Théorie des graphes									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/theorie-des-graphes-a158/	Eugène	archive-1/theorie-des-graphes-a158		fulltext	https://doi.org/10.51257/a-v1-a158	Editions T.I.	monograph		1970						P
Probabilités									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/probabilites-a165/	Lamboley	archive-1/probabilites-a165		fulltext	https://doi.org/10.51257/a-v1-a165	Editions T.I.	monograph		1969						P
Statistiques									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/statistiques-a166/	Lamboley	archive-1/statistiques-a166		fulltext	https://doi.org/10.51257/a-v1-a166	Editions T.I.	monograph		1970						P
Probabilités. Statistiques									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/probabilites-statistiques-a169/	Mothes	archive-1/probabilites-statistiques-a169		fulltext	https://doi.org/10.51257/a-v1-a169	Editions T.I.	monograph		1969						P
Physique									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/physique-a185/	Isabelle	archive-1/physique-a185		fulltext	https://doi.org/10.51257/a-v1-a185	Editions T.I.	monograph		1992						P
Noyaux et particules									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/noyaux-et-particules-a210/	Netter	archive-1/noyaux-et-particules-a210		fulltext	https://doi.org/10.51257/a-v1-a210	Editions T.I.	monograph		1978						P
Interaction du rayonnement avec la matière									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/interaction-du-rayonnement-avec-la-matiere-a214/	Chevallier	archive-1/interaction-du-rayonnement-avec-la-matiere-a214		fulltext	https://doi.org/10.51257/a-v1-a214	Editions T.I.	monograph		1986						P
Thermodynamique Introduction									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/thermodynamique-introduction-a222/	Fayard	archive-1/thermodynamique-introduction-a222		fulltext	https://doi.org/10.51257/a-v1-a222	Editions T.I.	monograph		1978						P
Thermodynamique macroscopique									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/thermodynamique-macroscopique-a223/	Fabréga	archive-1/thermodynamique-macroscopique-a223		fulltext	https://doi.org/10.51257/a-v1-a223	Editions T.I.	monograph		1978						P
Thermodynamique chimique, Application aux équilibres complexes									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/thermodynamique-chimique-application-aux-equilibres-complexes-a226/	Ansara	archive-1/thermodynamique-chimique-application-aux-equilibres-complexes-a226		fulltext	https://doi.org/10.51257/a-v1-a226	Editions T.I.	monograph		1978						P
Thermodynamique statistique									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/thermodynamique-statistique-a227/	Chatillon-colinet	archive-1/thermodynamique-statistique-a227		fulltext	https://doi.org/10.51257/a-v1-a227	Editions T.I.	monograph		1980						P
Verres									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/verres-a238/	Zarzycki	archive-1/verres-a238		fulltext	https://doi.org/10.51257/a-v1-a238	Editions T.I.	monograph		1987						P
Imperfections cristallines hors surface									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/imperfections-cristallines-hors-surface-a243/	Kubin	archive-1/imperfections-cristallines-hors-surface-a243		fulltext	https://doi.org/10.51257/a-v1-a243	Editions T.I.	monograph		1987						P
Structure électronique des solides									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/structure-electronique-des-solides-a244/	Averbuch	archive-1/structure-electronique-des-solides-a244		fulltext	https://doi.org/10.51257/a-v1-a244	Editions T.I.	monograph		1985						P
Calcul des structures									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-des-structures-a300/	Courbon	archive-1/calcul-des-structures-a300		fulltext	https://doi.org/10.51257/a-v1-a300	Editions T.I.	monograph		1979						P
Calcul des structures, Notations									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-des-structures-notations-a301/	Courbon	archive-1/calcul-des-structures-notations-a301		fulltext	https://doi.org/10.51257/a-v1-a301	Editions T.I.	monograph		1979						P
Calcul des structures, Déformations et contraintes dans un milieu continu									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-des-structures-deformations-et-contraintes-dans-un-milieu-continu-a303/	Courbon	archive-1/calcul-des-structures-deformations-et-contraintes-dans-un-milieu-continu-a303		fulltext	https://doi.org/10.51257/a-v1-a303	Editions T.I.	monograph		1979						P
Calcul des structures, Théorie de l'élasticité									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-des-structures-theorie-de-l-elasticite-a305/	Courbon	archive-1/calcul-des-structures-theorie-de-l-elasticite-a305		fulltext	https://doi.org/10.51257/a-v1-a305	Editions T.I.	monograph		1979						P
Mathématiques									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/mathematiques-a30/	Warusfel	archive-1/mathematiques-a30		fulltext	https://doi.org/10.51257/a-v1-a30	Editions T.I.	monograph		1994						P
Calcul des structures, Plaques minces élastiques									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-des-structures-plaques-minces-elastiques-a310/	Courbon	archive-1/calcul-des-structures-plaques-minces-elastiques-a310		fulltext	https://doi.org/10.51257/a-v1-a310	Editions T.I.	monograph		1980						P
Calcul des structures, Voiles minces									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-des-structures-voiles-minces-a320/	Courbon	archive-1/calcul-des-structures-voiles-minces-a320		fulltext	https://doi.org/10.51257/a-v1-a320	Editions T.I.	monograph		1979						P
Calcul des structures, Méthodes de calcul des structures élastiques									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-des-structures-methodes-de-calcul-des-structures-elastiques-a330/	Courbon	archive-1/calcul-des-structures-methodes-de-calcul-des-structures-elastiques-a330		fulltext	https://doi.org/10.51257/a-v1-a330	Editions T.I.	monograph		1980						P
Calcul des structures, Théorie de la plasticité									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-des-structures-theorie-de-la-plasticite-a350/	Courbon	archive-1/calcul-des-structures-theorie-de-la-plasticite-a350		fulltext	https://doi.org/10.51257/a-v1-a350	Editions T.I.	monograph		1981						P
Calcul des structures, Charges limites des plaques minces									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-des-structures-charges-limites-des-plaques-minces-a355/	Courbon	archive-1/calcul-des-structures-charges-limites-des-plaques-minces-a355		fulltext	https://doi.org/10.51257/a-v1-a355	Editions T.I.	monograph		1983						P
Nombres réels									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/nombres-reels-a35/	G. dhombres	archive-1/nombres-reels-a35		fulltext	https://doi.org/10.51257/a-v1-a35	Editions T.I.	monograph		1981						P
Fractions rationnelles									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/fractions-rationnelles-a45/	G. dhombres	archive-1/fractions-rationnelles-a45		fulltext	https://doi.org/10.51257/a-v1-a45	Editions T.I.	monograph		1981						P
Exponentielles et logarithmes									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/exponentielles-et-logarithmes-a51/	G. dhombres	archive-1/exponentielles-et-logarithmes-a51		fulltext	https://doi.org/10.51257/a-v1-a51	Editions T.I.	monograph		1977						P
Calcul des probabilités Concepts et résultats de base									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/calcul-des-probabilites-concepts-et-resultats-de-base-a560/	Fouque	archive-1/calcul-des-probabilites-concepts-et-resultats-de-base-a560		fulltext	https://doi.org/10.51257/a-v1-a560	Editions T.I.	monograph		1993						P
Fonctions trigonométriques, Tables									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/fonctions-trigonometriques-tables-a61/	G. dhombres	archive-1/fonctions-trigonometriques-tables-a61		fulltext	https://doi.org/10.51257/a-v1-a61	Editions T.I.	monograph		1976						P
Équations aux dérivées partielles									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/equations-aux-derivees-partielles-a650/	Rapin	archive-1/equations-aux-derivees-partielles-a650		fulltext	https://doi.org/10.51257/a-v1-a650	Editions T.I.	monograph		1993						P
Équations différentielles									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/equations-differentielles-a652/	Rapin	archive-1/equations-differentielles-a652		fulltext	https://doi.org/10.51257/a-v1-a652	Editions T.I.	monograph		1993						P
Équations intégrales									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/equations-integrales-a654/	Rapin	archive-1/equations-integrales-a654		fulltext	https://doi.org/10.51257/a-v1-a654	Editions T.I.	monograph		1983						P
Méthode des éléments finis									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/methode-des-elements-finis-a656/	Rapin	archive-1/methode-des-elements-finis-a656		fulltext	https://doi.org/10.51257/a-v1-a656	Editions T.I.	monograph		1993						P
Méthode des équations intégrales sur le contour									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/methode-des-equations-integrales-sur-le-contour-a658/	Lachat	archive-1/methode-des-equations-integrales-sur-le-contour-a658		fulltext	https://doi.org/10.51257/a-v1-a658	Editions T.I.	monograph		1993						P
Mécanique des fluides									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/mecanique-des-fluides-a700a/	Fortier	archive-1/mecanique-des-fluides-a700a		fulltext	https://doi.org/10.51257/a-v1-a700a	Editions T.I.	monograph		1974						P
Ecoulements variés									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/ecoulements-varies-a730/	Pichard	archive-1/ecoulements-varies-a730		fulltext	https://doi.org/10.51257/a-v1-a730	Editions T.I.	monograph		1971						P
Dérivées . Primitives (table)									https://www.techniques-ingenieur.fr/base-documentaire/archives-th12/archives-mathematiques-pour-l-ingenieur-tiafm/archive-1/derivees-primitives-table-a91/		archive-1/derivees-primitives-table-a91		fulltext	https://doi.org/10.51257/a-v1-a91	Editions T.I.	monograph		1974						P
Mathématiques fondamentales : analyse									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/		mathematiques-fondamentales-analyse-42103210		fulltext		Editions T.I.	monograph								P
Unités légales et facteurs de conversion									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/unites-legales-et-facteurs-de-conversion-24/	Courtier	unites-legales-et-facteurs-de-conversion-24		fulltext	https://doi.org/10.51257/a-v1-24	Editions T.I.	monograph		1994				mathematiques-fondamentales-analyse-42103210		P
Intégration									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/integration-a110/	Lino	integration-a110		fulltext	https://doi.org/10.51257/a-v1-a110	Editions T.I.	monograph		1996				mathematiques-fondamentales-analyse-42103210		P
Introduction à la logique floue									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/introduction-a-la-logique-floue-a120/	Kaufmann	introduction-a-la-logique-floue-a120		fulltext	https://doi.org/10.51257/a-v1-a120	Editions T.I.	monograph		1992				mathematiques-fondamentales-analyse-42103210		P
Vocabulaire des mathématiques									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/vocabulaire-des-mathematiques-a1205/	Cessenat	vocabulaire-des-mathematiques-a1205		fulltext	https://doi.org/10.51257/a-v1-a1205	Editions T.I.	monograph		1992				mathematiques-fondamentales-analyse-42103210		P
Transformations fonctionnelles									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/transformations-fonctionnelles-a1240/	Cessenat	transformations-fonctionnelles-a1240		fulltext	https://doi.org/10.51257/a-v1-a1240	Editions T.I.	monograph		1991				mathematiques-fondamentales-analyse-42103210		P
Calcul tensoriel									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/calcul-tensoriel-a125/	Châtelet	calcul-tensoriel-a125		fulltext	https://doi.org/10.51257/a-v1-a125	Editions T.I.	monograph		1982				mathematiques-fondamentales-analyse-42103210		P
Analyse harmonique, distributions, convolution									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/analyse-harmonique-distributions-convolution-a142/	Lachand-robert	analyse-harmonique-distributions-convolution-a142		fulltext	https://doi.org/10.51257/a-v1-a142	Editions T.I.	monograph		1993				mathematiques-fondamentales-analyse-42103210		P
Équations différentielles linéaires									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/equations-differentielles-lineaires-af103/	Randé	equations-differentielles-lineaires-af103		fulltext	https://doi.org/10.51257/a-v1-af103	Editions T.I.	monograph		2001				mathematiques-fondamentales-analyse-42103210		P
Équations aux différences									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/equations-aux-differences-af104/	Chen	equations-aux-differences-af104		fulltext	https://doi.org/10.51257/a-v1-af104	Editions T.I.	monograph		2007				mathematiques-fondamentales-analyse-42103210		P
Équations différentielles stochastiques									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/equations-differentielles-stochastiques-af105/	Chonavel	equations-differentielles-stochastiques-af105		fulltext	https://doi.org/10.51257/a-v1-af105	Editions T.I.	monograph		2015				mathematiques-fondamentales-analyse-42103210		P
Calcul des variations									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/calcul-des-variations-af111/	Dacorogna	calcul-des-variations-af111		fulltext	https://doi.org/10.51257/a-v1-af111	Editions T.I.	monograph		2007				mathematiques-fondamentales-analyse-42103210		P
Analyse complexe - Théorie des applications holomorphes									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/analyse-complexe-af112/	Randé	analyse-complexe-af112		fulltext	https://doi.org/10.51257/a-v1-af112	Editions T.I.	monograph		2000				mathematiques-fondamentales-analyse-42103210		P
Analyse complexe - Applications holomorphes									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/analyse-complexe-af113/	Randé	analyse-complexe-af113		fulltext	https://doi.org/10.51257/a-v1-af113	Editions T.I.	monograph		2000				mathematiques-fondamentales-analyse-42103210		P
Tenseurs en sciences des données									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/tenseurs-en-sciences-des-donnees-af114/	Comon	tenseurs-en-sciences-des-donnees-af114		fulltext	https://doi.org/10.51257/a-v1-af114	Editions T.I.	monograph		2021				mathematiques-fondamentales-analyse-42103210		P
Algèbre de Boole									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/algebre-de-boole-af118/	Vuillemin	algebre-de-boole-af118		fulltext	https://doi.org/10.51257/a-v1-af118	Editions T.I.	monograph		2010				mathematiques-fondamentales-analyse-42103210		P
Séries de Fourier									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/series-de-fourier-af141/	Queffélec	series-de-fourier-af141		fulltext	https://doi.org/10.51257/a-v1-af141	Editions T.I.	monograph		1999				mathematiques-fondamentales-analyse-42103210		P
Intégrales de Fourier									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/integrales-de-fourier-af143/	Queffélec	integrales-de-fourier-af143		fulltext	https://doi.org/10.51257/a-v1-af143	Editions T.I.	monograph		1999				mathematiques-fondamentales-analyse-42103210		P
Introduction aux équations aux dérivées partielles linéaires									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/introduction-aux-equations-aux-derivees-partielles-lineaires-af162/	Debeaumarché	introduction-aux-equations-aux-derivees-partielles-lineaires-af162		fulltext	https://doi.org/10.51257/a-v1-af162	Editions T.I.	monograph		1999				mathematiques-fondamentales-analyse-42103210		P
Théorie de la mesure et intégration									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/theorie-de-la-mesure-et-integration-af164/	Méléard	theorie-de-la-mesure-et-integration-af164		fulltext	https://doi.org/10.51257/a-v1-af164	Editions T.I.	monograph		2002				mathematiques-fondamentales-analyse-42103210		P
Calcul différentiel									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/calcul-differentiel-af55/	Lino	calcul-differentiel-af55		fulltext	https://doi.org/10.51257/a-v1-af55	Editions T.I.	monograph		1997				mathematiques-fondamentales-analyse-42103210		P
Équations différentielles									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/equations-differentielles-af652/	Randé	equations-differentielles-af652		fulltext	https://doi.org/10.51257/a-v1-af652	Editions T.I.	monograph		2004				mathematiques-fondamentales-analyse-42103210		P
Variétés différentielles									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-42103210/varietes-differentielles-af95/	Yebbou	varietes-differentielles-af95		fulltext	https://doi.org/10.51257/a-v1-af95	Editions T.I.	monograph		2000				mathematiques-fondamentales-analyse-42103210		P
Mathématiques fondamentales : analyse fonctionnelle									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-fonctionnelle-42696210/		mathematiques-fondamentales-analyse-fonctionnelle-42696210		fulltext		Editions T.I.	monograph								P
Analyse fonctionnelle - Partie 1									https://www.techniques-ingenieur.fr/base-documentaire/sciences-fondamentales-th8/mathematiques-fondamentales-analyse-fonctionnelle-42696210/analyse-fonctionnelle-af100/	Godefroy	analyse-fonctionnelle-af100		fulltext	https://doi.org/10.51257/a-v1-af100	Editions T.I.	monograph		2003				mathematiques-fondamentales-analyse-fonctionnelle-42696210		P
